campus,fall_year,high_school,city,applicants,admits,enrollees,applicant_mean_gpa,admit_mean_gpa,enrollee_mean_gpa
Los Angeles,2017,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.89,4.22,4.18
Los Angeles,2018,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.95,4.15,4.09
Los Angeles,2019,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.89,4.22,4.22
Los Angeles,2020,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.94,4.22,4.27
Los Angeles,2021,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.89,4.23,
Los Angeles,2022,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,4.03,4.19,4.13
Los Angeles,2023,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.96,4.18,4.13
Los Angeles,2024,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.95,4.22,4.21
Los Angeles,2025,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.93,4.11,4.05
Merced,2004,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.46,,
Merced,2005,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.39,3.41,
Merced,2006,SANTA MARGARITA CATHOLIC HS,Rancho Santa Mar,,,,3.35,3.38,
Merced,2007,SANTA MARGARITA CATHOLIC HS,Rancho Santa Mar,,,,3.38,3.40,
Merced,2008,SANTA MARGARITA CATHOLIC HS,Rancho Santa Mar,,,,3.41,3.42,
Merced,2009,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.35,3.37,
Merced,2010,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.53,3.56,
Merced,2011,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.36,3.43,
Merced,2013,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.29,3.39,
Merced,2014,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.22,,
Merced,2015,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.46,3.60,
Merced,2016,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.42,3.42,
Merced,2017,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.62,3.69,
Merced,2018,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.67,3.70,
Merced,2019,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.67,3.98,
Merced,2020,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.72,3.72,
Merced,2021,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.68,3.82,
Merced,2022,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.81,3.90,
Merced,2023,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.65,3.68,
Merced,2024,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.78,3.78,
Merced,2025,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.67,3.67,
Riverside,1994,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.45,3.56,
Riverside,1995,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.22,3.46,
Riverside,1996,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.24,3.24,
Riverside,1997,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.32,3.41,
Riverside,1998,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.10,3.28,
Riverside,1999,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.36,3.43,
Riverside,2000,SANTA MARGARITA CATHOLIC HS,Rancho San Marga,,,,3.37,3.47,
Riverside,2001,SANTA MARGARITA CATHOLIC HS,Rancho San Marga,,,,3.37,3.37,3.05
Riverside,2002,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.36,3.42,
Riverside,2003,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.33,3.33,
Riverside,2004,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.37,3.39,
Riverside,2005,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.41,3.49,
Riverside,2006,SANTA MARGARITA CATHOLIC HS,Rancho Santa Mar,,,,3.46,3.46,
Riverside,2007,SANTA MARGARITA CATHOLIC HS,Rancho Santa Mar,,,,3.34,3.38,3.26
Riverside,2008,SANTA MARGARITA CATHOLIC HS,Rancho Santa Mar,,,,3.37,3.42,
Riverside,2009,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.48,3.54,
Riverside,2010,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.42,3.47,
Riverside,2011,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.21,3.59,
Riverside,2012,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.53,3.60,
Riverside,2013,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.18,3.39,
Riverside,2014,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.56,3.65,
Riverside,2015,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.44,3.59,3.53
Riverside,2016,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.60,3.74,3.43
Riverside,2017,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.66,3.75,
Riverside,2018,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.63,3.70,
Riverside,2019,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.64,3.78,
